:/face/1.png,0
:/face/2.png,13
:/face/11.png,26
:/face/17.png,27
:/face/15.png,5
:/face/49.png,2
:/face/4.png,4
:/face/25.png,11
:/face/21.png,19
:/face/3.png,6
:/face/9.png,41
:/face/50.png,22
:/face/51.png,33
:/face/52.png,7
:/face/53.png,25
:/face/54.png,8
:/face/55.png,1
:/face/56.png,20
:/face/57.png,54
:/face/7.png,52
:/face/16.png,9
:/face/10.png,18
:/face/6.png,44
:/face/60.png,45
:/face/61.png,46
:/face/32.png,42
:/face/62.png,15
:/face/63.png,12
:/face/64.png,51
:/face/23.png,32
:/face/65.png,49
:/face/66.png,14
:/face/12.png,34
:/face/67.png,48
:/face/42.png,63
:/face/68.png,60
:/face/69.png,119
:/face/43.png,57
:/face/41.png,74
:/face/35.png,65
:/face/33.png,85
:/face/70.png,39
:/face/31.png,82
:/face/71.png,79
